Interface;From Part;From Material;To Part;To Material;Num Surfaces;Thermal Conductivity(K1);Surface(A1);Distance(X1);G1=(G*H)/I;Thermal Conductivity(K2);Surface(A2);DistanceX2;G2=(K*L)/M
2x Arm-Solar (left&right);Arm;AL 7075;Solar;Carbon CFRP;30;100;0,007826;;;0.18;;;
2x Arm-Base (left&right);Arm;AL 7075;Base;AL 7075;20;100;;;;100;;;
Base-Cylinder;Base;AL 7075;Cylinder;AL 6082;20;100;;;;160;;;
Legs-Base;Legs;Carbon CFRP;Base;AL 7075;20;0.18;;;;100;;;
Base-Radiator;Base;AL 7075;Radiator;AL 7075;20;100;;;;100;;;
Cylinder-MLI;Cylinder;AL 6082;MLI;MLI blanket (aluminized polymer film, effective layer);20;160;;;;?;;;
MLI-Cylinder;MLI;MLI blanket (aluminized polymer film, effective layer);Cylinder;AL 6082;20;?;;;;160;;;
lugs(screws)-Chip;Lugs;Stainless steel;Chip;Copper (heater spreader plate / chip carrier);20;15;;;;385;;;
Chip-Copper strap;Chip;Copper (heater spreader plate / chip carrier);Copper strap;Copper;20;385;;;;385;;;
Copper Strap-Radiator;Copper Strap;Copper ;Radiator;AL 7075;20;385;;;;100;;;
