Time,case2.sav
0.0,293.15
1728.0,353.2218
3456.0,376.5638
5184.0,383.111
6912.0,384.8747
8640.0,385.3445
10368.0,385.4693
12096.0,385.5024
13824.0,385.5112
15552.0,385.5135
17280.0,385.5141
19008.0,385.5143
20736.0,385.5143
22464.0,385.5144
24192.0,385.5144
25920.0,385.5144
27648.0,385.5144
29376.0,385.5144
31104.0,385.5144
32832.0,385.5144
34560.0,385.5144
36288.0,385.5144
38016.0,385.5144
39744.0,385.4631
41472.0,375.3847
43200.0,358.4862
44928.0,341.3085
46656.0,327.248
48384.0,321.1251
50112.0,318.6943
51840.0,317.7175
53568.0,317.323
55296.0,317.1634
57024.0,317.0988
58752.0,317.0726
60480.0,317.062
62208.0,317.0577
63936.0,317.0559
65664.0,317.0552
67392.0,317.0549
69120.0,317.0548
70848.0,317.0548
72576.0,317.0548
74304.0,317.0548
76032.0,317.0548
77760.0,317.0548
79488.0,317.0548
81216.0,317.0548
82944.0,320.1613
84672.0,332.507
86400.0,351.0364
88128.0,369.0653
89856.0,375.205
91584.0,376.9445
93312.0,377.4321
95040.0,377.5684
96768.0,377.6064
98496.0,376.0817
100224.0,363.1131
101952.0,346.5254
103680.0,335.2204
105408.0,331.0339
107136.0,329.4701
108864.0,328.8811
110592.0,328.6587
112320.0,328.5746
114048.0,331.7432
115776.0,345.4125
117504.0,364.6946
119232.0,373.9481
120960.0,376.5908
122688.0,377.3331
124416.0,377.5407
126144.0,377.5987
127872.0,377.6055
129600.0,368.6339
131328.0,355.4889
133056.0,350.5295
134784.0,348.8854
136512.0,348.3354
138240.0,348.1508
139968.0,348.0888
141696.0,348.463
143424.0,352.4558
145152.0,358.5938
146880.0,365.6095
148608.0,372.8739
150336.0,376.287
152064.0,377.2481
153792.0,377.517
155520.0,377.5921
157248.0,377.6131
158976.0,377.6189
160704.0,375.7426
162432.0,371.824
164160.0,367.3945
165888.0,362.8806
167616.0,358.4034
169344.0,354.0003
171072.0,349.6853
172800.0,345.4657
