Time,case2.sav
0.0,293.15
1728.0,353.1679
3456.0,366.5231
5184.0,370.4488
6912.0,371.5189
8640.0,371.8049
10368.0,371.8809
12096.0,371.9011
13824.0,371.9064
15552.0,371.9078
17280.0,371.9082
19008.0,371.9083
20736.0,371.9083
22464.0,371.9083
24192.0,371.9083
25920.0,371.9083
27648.0,371.9083
29376.0,371.9083
31104.0,371.9083
32832.0,371.9083
34560.0,371.9083
36288.0,371.9083
38016.0,371.9083
39744.0,370.9795
41472.0,354.2711
43200.0,333.8012
44928.0,313.6675
46656.0,300.7138
48384.0,296.4097
50112.0,294.7165
51840.0,294.0386
53568.0,293.7652
55296.0,293.6547
57024.0,293.6099
58752.0,293.5918
60480.0,293.5845
62208.0,293.5815
63936.0,293.5803
65664.0,293.5798
67392.0,293.5796
69120.0,293.5795
70848.0,293.5795
72576.0,293.5795
74304.0,293.5795
76032.0,293.5795
77760.0,293.5795
79488.0,293.5795
81216.0,293.5795
82944.0,302.6256
84672.0,320.7869
86400.0,343.3018
88128.0,358.058
89856.0,361.7748
91584.0,362.8398
93312.0,363.1393
95040.0,363.2231
96768.0,363.2465
98496.0,358.0523
100224.0,339.8964
101952.0,319.9626
103680.0,311.921
105408.0,309.0837
107136.0,308.0311
108864.0,307.6356
110592.0,307.4864
112320.0,307.43
114048.0,316.4604
115776.0,335.7702
117504.0,355.4524
119232.0,361.0086
120960.0,362.6229
122688.0,363.0785
124416.0,363.2061
126144.0,363.2417
127872.0,362.8078
129600.0,346.9196
131328.0,334.9592
133056.0,331.7311
134784.0,330.67
136512.0,330.316
138240.0,330.1974
139968.0,330.1575
141696.0,331.7452
143424.0,337.7371
145152.0,345.1293
146880.0,353.0934
148608.0,360.3556
150336.0,362.4367
152064.0,363.0262
153792.0,363.1915
155520.0,363.2376
157248.0,363.2505
158976.0,363.2541
160704.0,359.7883
162432.0,355.0418
164160.0,349.9894
165888.0,344.8963
167616.0,339.8397
169344.0,334.8448
171072.0,329.9224
172800.0,325.0792
