Time,case2.sav
0.0,293.15
1728.0,353.15
3456.0,353.15
5184.0,353.15
6912.0,353.15
8640.0,353.15
10368.0,353.15
12096.0,353.15
13824.0,353.15
15552.0,353.15
17280.0,353.15
19008.0,353.15
20736.0,353.15
22464.0,353.15
24192.0,353.15
25920.0,353.15
27648.0,353.15
29376.0,353.15
31104.0,353.15
32832.0,353.15
34560.0,353.15
36288.0,353.15
38016.0,353.15
39744.0,350.7644
41472.0,321.9643
43200.0,293.1642
44928.0,264.3641
46656.0,253.15
48384.0,253.15
50112.0,253.15
51840.0,253.15
53568.0,253.15
55296.0,253.15
57024.0,253.15
58752.0,253.15
60480.0,253.15
62208.0,253.15
63936.0,253.15
65664.0,253.15
67392.0,253.15
69120.0,253.15
70848.0,253.15
72576.0,253.15
74304.0,253.15
76032.0,253.15
77760.0,253.15
79488.0,253.15
81216.0,253.15
82944.0,275.536
84672.0,304.3359
86400.0,333.1358
88128.0,343.15
89856.0,343.15
91584.0,343.15
93312.0,343.15
95040.0,343.15
96768.0,343.15
98496.0,331.5643
100224.0,302.7642
101952.0,273.9641
103680.0,273.15
105408.0,273.15
107136.0,273.15
108864.0,273.15
110592.0,273.15
112320.0,273.15
114048.0,293.9359
115776.0,322.7359
117504.0,343.15
119232.0,343.15
120960.0,343.15
122688.0,343.15
124416.0,343.15
126144.0,343.15
127872.0,341.9643
129600.0,313.1643
131328.0,303.15
133056.0,303.15
134784.0,303.15
136512.0,303.15
138240.0,303.15
139968.0,303.15
141696.0,307.0119
143424.0,316.6119
145152.0,326.2119
146880.0,335.8119
148608.0,343.15
150336.0,343.15
152064.0,343.15
153792.0,343.15
155520.0,343.15
157248.0,343.15
158976.0,343.15
160704.0,336.9792
162432.0,330.7183
164160.0,324.4574
165888.0,318.1966
167616.0,311.9357
169344.0,305.6748
171072.0,299.4139
172800.0,293.1531
