Time,case2.sav
0.0,293.15
1728.0,352.3745
3456.0,375.6747
5184.0,382.209
6912.0,383.9692
8640.0,384.438
10368.0,384.5625
12096.0,384.5956
13824.0,384.6043
15552.0,384.6067
17280.0,384.6073
19008.0,384.6074
20736.0,384.6075
22464.0,384.6075
24192.0,384.6075
25920.0,384.6075
27648.0,384.6075
29376.0,384.6075
31104.0,384.6075
32832.0,384.6075
34560.0,384.6075
36288.0,384.6075
38016.0,384.6075
39744.0,384.5533
41472.0,374.4544
43200.0,357.5543
44928.0,340.3794
46656.0,326.3302
48384.0,320.2152
50112.0,317.7875
51840.0,316.8119
53568.0,316.4179
55296.0,316.2585
57024.0,316.1939
58752.0,316.1678
60480.0,316.1572
62208.0,316.1529
63936.0,316.1511
65664.0,316.1504
67392.0,316.1501
69120.0,316.15
70848.0,316.15
72576.0,316.15
74304.0,316.15
76032.0,316.15
77760.0,316.15
79488.0,316.15
81216.0,316.15
82944.0,319.2682
84672.0,331.6246
86400.0,350.1614
88128.0,368.1748
89856.0,374.303
91584.0,376.0392
93312.0,376.5259
95040.0,376.6619
96768.0,376.6998
98496.0,375.1626
100224.0,362.183
101952.0,345.5959
103680.0,334.3061
105408.0,330.1254
107136.0,328.5637
108864.0,327.9755
110592.0,327.7534
112320.0,327.6694
114048.0,330.8512
115776.0,344.5326
117504.0,363.8119
119232.0,373.0485
120960.0,375.6861
122688.0,376.4271
124416.0,376.6343
126144.0,376.6921
127872.0,376.6976
129600.0,367.7055
131328.0,354.5713
133056.0,349.6199
134784.0,347.9784
136512.0,347.4292
138240.0,347.2449
139968.0,347.183
141696.0,347.5605
143424.0,351.558
145152.0,357.6977
146880.0,364.7142
148608.0,371.9763
150336.0,375.3829
152064.0,376.3422
153792.0,376.6106
155520.0,376.6855
157248.0,376.7064
158976.0,376.7123
160704.0,374.8309
162432.0,370.911
164160.0,366.4814
165888.0,361.9677
167616.0,357.4908
169344.0,353.088
171072.0,348.7733
172800.0,344.554
