Time,case2.sav
0.0,293.15
1728.0,366.7582
3456.0,375.2718
5184.0,377.6031
6912.0,378.2271
8640.0,378.393
10368.0,378.4371
12096.0,378.4488
13824.0,378.4519
15552.0,378.4527
17280.0,378.4529
19008.0,378.453
20736.0,378.453
22464.0,378.453
24192.0,378.453
25920.0,378.453
27648.0,378.453
29376.0,378.453
31104.0,378.453
32832.0,378.453
34560.0,378.453
36288.0,378.453
38016.0,378.453
39744.0,377.9156
41472.0,360.5747
43200.0,341.9889
44928.0,324.7488
46656.0,314.1065
48384.0,311.097
50112.0,309.8908
51840.0,309.4042
53568.0,309.2073
55296.0,309.1276
57024.0,309.0953
58752.0,309.0823
60480.0,309.077
62208.0,309.0748
63936.0,309.0739
65664.0,309.0736
67392.0,309.0734
69120.0,309.0734
70848.0,309.0734
72576.0,309.0734
74304.0,309.0734
76032.0,309.0734
77760.0,309.0734
79488.0,309.0734
81216.0,309.0734
82944.0,316.5821
84672.0,333.1615
86400.0,354.157
88128.0,367.2835
89856.0,369.5599
91584.0,370.2007
93312.0,370.38
95040.0,370.4301
96768.0,370.4441
98496.0,365.2481
100224.0,347.6063
101952.0,330.1082
103680.0,323.8239
105408.0,321.8691
107136.0,321.1343
108864.0,320.8569
110592.0,320.752
112320.0,320.7124
114048.0,328.6422
115776.0,346.8594
117504.0,365.6257
119232.0,369.0958
120960.0,370.0706
122688.0,370.3436
124416.0,370.4199
126144.0,370.4412
127872.0,370.3011
129600.0,354.1083
131328.0,343.6324
133056.0,341.5337
134784.0,340.8336
136512.0,340.5988
138240.0,340.52
139968.0,340.4935
141696.0,341.9087
143424.0,347.7039
145152.0,354.5698
146880.0,361.9249
148608.0,368.6837
150336.0,369.9587
152064.0,370.3124
153792.0,370.4112
155520.0,370.4388
157248.0,370.4465
158976.0,370.4487
160704.0,366.9192
162432.0,362.4314
164160.0,357.8092
165888.0,353.21
167616.0,348.6816
169344.0,344.2409
171072.0,339.8961
172800.0,335.653
