Time_seconds,Date,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,TempSet,TempChamber,CS,PSUC1I,PSUC1U,PSUC2I,PSUC2U,Pressure
0,2025-12-11T15:31:29.0,21.82636,21.59572,22.04921,21.70802,20.88364,21.15356,0.0,20.25,0.0,0.0,0.0,0.0,0.0,993.0
1728,2025-12-11T16:00:27.0,36.23132,40.55858,35.79797,38.04776,26.93374,38.87068,80.0,46.63,1.0,0.3828,3.87,0.1568,25.01,0.000106
3456,2025-12-11T16:29:37.0,58.98763,62.0881,58.10499,59.44926,43.85418,65.86585,80.0,75.9,1.0,0.3832,3.87,0.1559,25.01,0.000108
5184,2025-12-11T16:58:46.0,77.45402,77.55073,79.02727,78.76392,63.33139,78.06646,80.0,80.1,1.0,0.3835,3.87,0.1552,25.01,0.000129
6912,2025-12-11T17:27:55.0,87.54115,82.61721,93.14756,90.74243,73.79414,79.65991,80.0,80.03,1.0,0.383,3.87,0.1549,25.01,9.43e-05
8640,2025-12-11T17:57:03.0,93.01804,84.92749,101.3539,96.62451,78.8299,80.27001,80.0,80.01,1.0,0.3824,3.87,0.1546,25.01,5.19e-05
10368,2025-12-11T18:26:02.0,95.8645,85.99895,105.8387,99.95913,81.24132,80.58147,80.0,80.01,1.0,0.3821,3.87,0.1545,25.01,4.24e-05
12096,2025-12-11T18:55:10.0,97.40506,86.50406,108.1895,101.7036,82.35855,80.69352,80.0,80.0,1.0,0.3819,3.87,0.1545,25.01,3.5e-05
13824,2025-12-11T19:24:19.0,98.22675,86.76087,109.5045,102.8213,82.89118,80.74357,80.0,80.0,1.0,0.3817,3.87,0.1545,25.01,3.11e-05
15552,2025-12-11T19:53:28.0,98.65917,86.85941,110.1029,103.3094,83.10358,80.76662,80.0,80.0,1.0,0.3814,3.87,0.1545,25.01,2.91e-05
17280,2025-12-11T20:22:37.0,98.97667,86.98089,110.348,103.3276,83.23889,80.79484,80.0,80.01,1.0,0.3813,3.87,0.1544,25.01,2.49e-05
19008,2025-12-11T20:51:36.0,99.12937,86.72182,110.6291,103.6588,83.35181,80.84524,80.0,80.0,1.0,0.3814,3.87,0.1544,25.01,2.27e-05
20736,2025-12-11T21:20:44.0,99.22029,86.72751,110.7316,103.7118,83.38442,80.85832,80.0,80.0,1.0,0.3815,3.87,0.1544,25.01,2.07e-05
22464,2025-12-11T21:49:53.0,99.36175,86.76893,110.9088,103.9857,83.40246,80.84949,80.0,79.99,1.0,0.3823,3.87,0.1544,25.01,1.93e-05
24192,2025-12-11T22:19:02.0,99.36865,86.76612,110.9,103.7916,83.41633,80.86936,80.0,80.0,1.0,0.3825,3.87,0.1544,25.01,1.8e-05
25920,2025-12-11T22:48:10.0,99.48769,86.77776,111.0097,103.9914,83.46728,80.88463,80.0,80.01,1.0,0.3826,3.87,0.1544,25.01,1.7e-05
27648,2025-12-11T23:17:09.0,99.54829,86.81745,111.0703,104.0043,83.48493,80.90518,80.0,80.0,1.0,0.3826,3.87,0.1544,25.01,1.6e-05
29376,2025-12-11T23:46:18.0,99.59267,86.83011,111.1238,104.0814,83.4966,80.91428,80.0,80.0,1.0,0.3826,3.87,0.1544,25.01,1.52e-05
31104,2025-12-12T00:15:27.0,99.6262,86.86947,111.1484,104.0926,83.53781,80.91808,80.0,80.0,1.0,0.3825,3.87,0.1544,25.01,1.45e-05
32832,2025-12-12T00:44:35.0,99.62609,86.84067,111.1445,104.1319,83.51007,80.91229,80.0,80.0,1.0,0.3825,3.87,0.1544,25.01,1.39e-05
34560,2025-12-12T01:13:44.0,99.6533,86.86087,111.1812,104.096,83.51031,80.90238,80.0,80.0,1.0,0.3825,3.87,0.1544,25.01,1.33e-05
36288,2025-12-12T01:42:43.0,99.63556,86.84,111.1869,104.1478,83.51702,80.89436,80.0,80.0,1.0,0.3824,3.87,0.1544,25.01,1.28e-05
