Date,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,TempSet,TempChamber,CS,PSUC1I,PSUC1U,PSUC2I,PSUC2U,Pressure
2025-12-11T15:31:29.0,21.82636,21.59572,22.04921,21.70802,20.88364,21.15356,0.0,20.25,0.0,0.0,0.0,0.0,0.0,993.0
2025-12-11T15:39:54.0,21.15524,20.79865,21.02351,20.66985,21.18358,22.34438,80.0,24.21,1.0,0.3857,3.87,0.1587,25.01,0.00076
2025-12-11T15:48:20.0,26.7666,33.70509,25.76982,27.95662,22.86505,28.47965,80.0,34.28,1.0,0.3826,3.87,0.157,25.01,0.000179
2025-12-11T15:56:45.0,33.33401,38.38409,32.67252,34.85038,25.44849,35.53875,80.0,42.85,1.0,0.3839,3.87,0.1568,25.01,0.000121
2025-12-11T16:05:10.0,39.9043,43.61414,39.44694,41.39487,28.99595,43.19288,80.0,51.35,1.0,0.3826,3.87,0.1566,25.01,9.35e-05
2025-12-11T16:13:36.0,46.53811,49.65322,46.059,47.74068,33.46723,51.16679,80.0,59.82,1.0,0.383,3.87,0.1564,25.01,8.25e-05
2025-12-11T16:22:02.0,53.09884,56.11796,52.56191,54.1721,38.78925,58.99784,80.0,68.25,1.0,0.3831,3.87,0.1561,25.01,7.94e-05
2025-12-11T16:30:27.0,59.6827,62.79695,58.80876,60.16854,44.43737,66.683,80.0,76.8,1.0,0.3834,3.87,0.1559,25.01,0.000141
2025-12-11T16:38:53.0,66.11836,69.31766,65.11383,66.34809,50.78786,73.40948,80.0,80.58,1.0,0.384,3.87,0.1557,25.01,0.000148
2025-12-11T16:47:18.0,71.49305,73.75041,71.3943,72.09849,56.71681,76.33781,80.0,80.23,1.0,0.3838,3.87,0.1555,25.01,0.000144
2025-12-11T16:55:44.0,76.02779,76.72105,77.07528,77.01256,61.75693,77.74603,80.0,80.12,1.0,0.3836,3.87,0.1553,25.01,0.000134
2025-12-11T17:04:09.0,79.839,78.87423,82.26835,81.66733,65.92324,78.57625,80.0,80.08,1.0,0.3834,3.87,0.1552,25.01,0.000123
2025-12-11T17:12:35.0,83.01652,80.49877,86.6951,85.46532,69.22359,79.04945,80.0,80.06,1.0,0.3832,3.87,0.155,25.01,0.000111
2025-12-11T17:21:00.0,85.67582,81.7616,90.4326,88.56716,71.9503,79.43358,80.0,80.03,1.0,0.3831,3.87,0.1549,25.01,0.000102
2025-12-11T17:29:26.0,87.92976,82.79942,93.63097,91.01964,74.15168,79.72095,80.0,80.03,1.0,0.3829,3.87,0.1548,25.01,9.17e-05
2025-12-11T17:37:51.0,89.82313,83.62466,96.5161,93.37088,75.94537,79.93802,80.0,80.02,1.0,0.3827,3.87,0.1548,25.01,8.4e-05
2025-12-11T17:46:16.0,91.30367,84.22341,98.88596,95.01865,77.28929,80.03729,80.0,80.02,1.0,0.3826,3.87,0.1547,25.01,7.7e-05
2025-12-11T17:54:42.0,92.69587,84.80707,100.8532,96.31492,78.56705,80.25692,80.0,80.01,1.0,0.3825,3.87,0.1547,25.01,5.28e-05
2025-12-11T18:03:07.0,93.74234,85.1994,102.4453,97.32381,79.46255,80.34667,80.0,80.02,1.0,0.3824,3.87,0.1546,25.01,4.72e-05
2025-12-11T18:11:33.0,94.65794,85.55629,103.8099,98.24146,80.22182,80.45488,80.0,80.01,1.0,0.3823,3.87,0.1546,25.01,4.58e-05
2025-12-11T18:19:58.0,95.42477,85.83168,105.1596,99.50902,80.86592,80.51543,80.0,80.01,1.0,0.3822,3.87,0.1546,25.01,4.42e-05
2025-12-11T18:28:24.0,96.03777,86.05351,105.9731,99.86383,81.34016,80.58186,80.0,80.0,1.0,0.3821,3.87,0.1545,25.01,4.18e-05
2025-12-11T18:36:49.0,96.57179,86.22286,106.7999,100.5377,81.7484,80.61027,80.0,80.01,1.0,0.382,3.87,0.1545,25.01,4.03e-05
